"Otu000004" "Otu000005" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000041" "Otu000042" "Otu000046" "Otu000048" "Otu000049" "Otu000058" "Otu000060" "Otu000065" "Otu000070" "Otu000075" "Otu000082" "Otu000083" "Otu000087" "Otu000094" "Otu000106" "Otu000119" "Otu000124" "Otu000135" "Otu000136" "Otu000152" "Otu000161" "Otu000162" "Otu000176" "Otu000179" "Otu000184" "Otu000192" "Otu000195" "Otu000210" "Otu000227" "Otu000244" "Otu000246" "Otu000247" "Otu000255" "Otu000261" "Otu000262" "Otu000267" "Otu000298" "Otu000302" "Otu000312" "Otu000320" "Otu000322" "Otu000323" "Otu000328" "Otu000330" "Otu000377" "Otu000379" "Otu000385" "Otu000427" "Otu000438" "Otu000506" "Otu000509" "Otu000644" "Otu000682" "Otu000715" "Otu000779" "Otu000810" "Otu000821" "Otu000833" "Otu000931" "Otu001021" "Otu001059" "Otu001142" "Otu001319" "Otu001345" "Otu001368" "Otu001451" "Otu001487" "Otu001697" "Otu001846" "Otu002189" "Otu002481"
"Fa13.BD.MLB.DN.1" 0.219995546648853 0.00222667557336896 0.189490091293699 0.0605655755956357 0.0434201736806947 0.0111333778668448 0.0668002672010688 0.00601202404809619 0.0721442885771543 0.0436428412380316 0.00111333778668448 0.038521487419283 0.00311734580271654 0.00868403473613895 0.0200400801603206 0.0055666889334224 0.0126920507682031 0.01937207748831 0.00668002672010688 0.000222667557336896 0.000445335114673792 0.00178134045869517 0.0138053885548876 0.00445335114673792 0.000445335114673792 0.000222667557336896 0.00645735916276999 0.0242707637497217 0.00734802939211757 0.00178134045869517 0.0100200400801603 0.0104653751948341 0.00155867290135827 0.00222667557336896 0.00244934313070586 0.00244934313070586 0.00133600534402138 0.000445335114673792 0.00423068358940102 0.00133600534402138 0.000445335114673792 0.00823869962146515 0.000890670229347584 0.0053440213760855 0.000668002672010688 0.00155867290135827 0.00133600534402138 0.000222667557336896 0.0055666889334224 0.000890670229347584 0.0167000668002672 0.000445335114673792 0.000445335114673792 0.0057893564907593 0 0.00890670229347584 0.000445335114673792 0.000668002672010688 0.00489868626141171 0.000222667557336896 0.000222667557336896 0.000890670229347584 0.000668002672010688 0.00133600534402138 0 0.00111333778668448 0.000222667557336896 0 0.00111333778668448 0 0.000890670229347584 0 0.000222667557336896 0 0.000222667557336896 0 0 0.000222667557336896 0.000222667557336896 0 0 0 0
"Fa13.BD.MLB.SN.1" 0.276998441327099 0.00200400801603206 0.184146069917613 0.0554442217768871 0.0445335114673792 0.00645735916276998 0.0507682030728123 0.00311734580271654 0.0543308839902026 0.0694722778891115 0.00200400801603206 0.0360721442885772 0.00200400801603206 0.00957470496548653 0.0269427744377644 0.00512135381874861 0.0124693832108662 0.0200400801603206 0.00645735916276998 0.000222667557336896 0.000445335114673792 0.000668002672010688 0.0140280561122244 0.000668002672010688 0.000668002672010688 0.000222667557336896 0.00445335114673792 0.0155867290135827 0.0057893564907593 0.000890670229347584 0.00668002672010688 0.00668002672010688 0.00178134045869517 0.00378534847472723 0.00111333778668448 0.00133600534402138 0.000445335114673792 0.000445335114673792 0.00111333778668448 0.000445335114673792 0.000445335114673792 0.00111333778668448 0.00111333778668448 0.0055666889334224 0.00111333778668448 0.00244934313070586 0.000668002672010688 0 0.00601202404809619 0.000222667557336896 0.0169227343576041 0.000445335114673792 0.000445335114673792 0.00801603206412826 0.000222667557336896 0.00912936985081274 0.000222667557336896 0.000445335114673792 0.00200400801603206 0.000222667557336896 0 0.00111333778668448 0.000222667557336896 0.000890670229347584 0.000445335114673792 0.00200400801603206 0 0 0.000445335114673792 0 0.000890670229347584 0 0 0 0 0.000222667557336896 0 0 0.00133600534402138 0 0 0.000222667557336896 0
"MBRE1F714" 0.225784903139613 0.217100868403474 0.0850590069026943 0.0630149187263416 0.0374081496325985 0.0311734580271654 0.0418615007793365 0.021376085504342 0.0322867958138499 0.00601202404809619 0.00133600534402138 0.0180360721442886 0.00111333778668448 0.021376085504342 0.0100200400801603 0.017145401914941 0.00645735916276998 0.000445335114673792 0.0160320641282565 0.000445335114673792 0 0.0053440213760855 0.0138053885548876 0.00601202404809619 0 0.000890670229347584 0.00601202404809619 0.0133600534402138 0.00890670229347584 0.00178134045869517 0.000445335114673792 0.0100200400801603 0.00178134045869517 0.000890670229347584 0.00423068358940102 0.00623469160543309 0.000445335114673792 0.000445335114673792 0 0.00111333778668448 0.000668002672010688 0.000222667557336896 0.0378534847472723 0.00467601870407482 0.000222667557336896 0.00133600534402138 0 0 0.00244934313070586 0.000668002672010688 0.00133600534402138 0.000222667557336896 0.000222667557336896 0.00155867290135827 0.000222667557336896 0.00512135381874861 0 0 0.000890670229347584 0.000445335114673792 0 0.000222667557336896 0.000445335114673792 0.000890670229347584 0.00200400801603206 0.000222667557336896 0 0 0.00222667557336896 0 0 0 0.000222667557336896 0 0.000222667557336896 0 0 0.000222667557336896 0 0 0 0 0
"MBRE1F914" 0.224448897795591 0.00979737252282343 0.0937430416388332 0.0570028946782454 0.0532175462035181 0.0146960587842351 0.157425963037185 0.0585615675796037 0.0765976397238922 0.0100200400801603 0.000890670229347584 0.0416388332219996 0.00957470496548653 0.00601202404809619 0.00423068358940102 0.00445335114673792 0.0135827209975507 0.00155867290135827 0.0113560454241817 0.000890670229347584 0 0.0111333778668448 0.0262747717657537 0.0055666889334224 0.000222667557336896 0.000668002672010688 0.00244934313070586 0.0169227343576041 0.0133600534402138 0.00155867290135827 0.000668002672010688 0.0122467156535293 0.00133600534402138 0.00334001336005344 0.000222667557336896 0.00267201068804275 0 0 0.000668002672010688 0.000890670229347584 0.00311734580271654 0.000222667557336896 0.00178134045869517 0.00267201068804275 0 0.00445335114673792 0.000890670229347584 0.000222667557336896 0.00178134045869517 0.000222667557336896 0.00222667557336896 0 0 0.00378534847472723 0.000668002672010688 0.0209307503896682 0.00111333778668448 0.000222667557336896 0.000668002672010688 0.000445335114673792 0 0 0.000890670229347584 0.00111333778668448 0 0.000445335114673792 0 0 0.000222667557336896 0 0.000445335114673792 0 0.000445335114673792 0 0.000222667557336896 0 0 0.000445335114673792 0.000222667557336896 0 0.000222667557336896 0 0
"MBRE1F715" 0.571364952126475 0.0231574259630372 0.0527722110888444 0.0305054553551548 0.0474281897127589 0.0318414606991761 0.042752171008684 0.0242707637497217 0.0178134045869517 0.00690269427744378 0.00846136717880205 0.0144733912268982 0.0057893564907593 0.00601202404809619 0.0155867290135827 0.00489868626141171 0.00623469160543309 0.000890670229347584 0.00912936985081274 0 0.00267201068804275 0.0151413938989089 0.00823869962146515 0.00155867290135827 0 0.00178134045869517 0.00178134045869517 0.00489868626141171 0.00734802939211757 0.000668002672010688 0 0.00400801603206413 0.000222667557336896 0.000222667557336896 0.00111333778668448 0.0057893564907593 0 0 0.000445335114673792 0.000445335114673792 0.000890670229347584 0 0.00200400801603206 0.000222667557336896 0.000222667557336896 0 0.00400801603206413 0.000445335114673792 0.00111333778668448 0 0.00200400801603206 0 0.00178134045869517 0.00222667557336896 0.000668002672010688 0.00111333778668448 0.000890670229347584 0 0.000222667557336896 0.000222667557336896 0 0 0.000445335114673792 0.000445335114673792 0.000668002672010688 0 0 0 0.00111333778668448 0.000222667557336896 0.000222667557336896 0 0 0 0.000222667557336896 0 0 0.000668002672010688 0 0 0.00111333778668448 0.000222667557336896 0
"MBRE2F515" 0.427299042529503 0.000445335114673792 0.124248496993988 0.0523268759741706 0.0583389000222668 0.0229347584057003 0.0434201736806947 0.0561122244488978 0.0311734580271654 0.00200400801603206 0.0113560454241817 0.0309507904698285 0.00244934313070586 0.000222667557336896 0.0452015141393899 0 0.000890670229347584 0.00133600534402138 0.0140280561122244 0 0.000445335114673792 0.00311734580271654 0 0.00846136717880205 0 0.00222667557336896 0.00512135381874861 0.00668002672010688 0.00623469160543309 0.00133600534402138 0.00178134045869517 0.0055666889334224 0 0 0.00489868626141171 0 0 0 0.000890670229347584 0.000668002672010688 0.00111333778668448 0.00133600534402138 0.000890670229347584 0.00289467824537965 0.00489868626141171 0.000890670229347584 0.000222667557336896 0.00133600534402138 0.000890670229347584 0 0.000890670229347584 0 0 0.000222667557336896 0 0.00200400801603206 0 0.00155867290135827 0 0 0 0 0 0.00512135381874861 0 0 0 0.000222667557336896 0 0 0 0.000668002672010688 0 0.000222667557336896 0.000445335114673792 0.000222667557336896 0 0 0 0 0.00155867290135827 0 0.000222667557336896
"MBRE2F915" 0.434424404364284 0.0111333778668448 0.0605655755956357 0.0327321309285237 0.0458695168114006 0.0416388332219996 0.0262747717657537 0.0158093965709196 0.0233800935203741 0.0102427076374972 0.00467601870407482 0.0169227343576041 0.0262747717657537 0.0115787129815186 0.0376308171899354 0.0055666889334224 0.0558895568915609 0.00378534847472723 0.00957470496548653 0.00155867290135827 0.000445335114673792 0.00846136717880205 0.014918726341572 0.0182587397016255 0 0.00289467824537965 0.00178134045869517 0.00868403473613894 0.00823869962146515 0.00244934313070586 0.00244934313070586 0.0175907370296148 0.00267201068804275 0.000445335114673792 0.00289467824537965 0.00133600534402138 0.000222667557336896 0 0.00133600534402138 0.00111333778668448 0.000222667557336896 0.000668002672010688 0.00334001336005344 0.00111333778668448 0.000222667557336896 0.000445335114673792 0.00133600534402138 0.000890670229347584 0.00200400801603206 0.000890670229347584 0.00111333778668448 0.000890670229347584 0 0.00467601870407482 0.000445335114673792 0.00267201068804275 0 0 0.00222667557336896 0.000668002672010688 0.000222667557336896 0.000222667557336896 0.00178134045869517 0.000445335114673792 0 0 0 0.000222667557336896 0 0 0.00133600534402138 0 0 0 0 0 0.000222667557336896 0 0 0 0 0 0
"MBRH1F714" 0.202627477176575 0.00133600534402138 0.0904030282787798 0.0305054553551548 0.0988643954575818 0.0554442217768871 0.049209530171454 0.0271654419951013 0.057893564907593 0.00467601870407482 0.00378534847472723 0.00668002672010688 0.000222667557336896 0.00935203740814963 0.017145401914941 0.00757069694945446 0.0238254286350479 0.165887330215988 0.00244934313070586 0.000668002672010688 0 0.00823869962146515 0.00133600534402138 0.0162547316855934 0 0.0055666889334224 0.00334001336005344 0.0120240480961924 0.00823869962146515 0.00155867290135827 0.00378534847472723 0.00712536183478067 0.00489868626141171 0.00200400801603206 0.00267201068804275 0.00489868626141171 0 0.000445335114673792 0.000890670229347584 0.000890670229347584 0.00111333778668448 0.00757069694945446 0.00200400801603206 0.00868403473613895 0.000222667557336896 0.00311734580271654 0.000890670229347584 0.00311734580271654 0.00311734580271654 0.00311734580271654 0.00378534847472723 0 0.000445335114673792 0.00200400801603206 0.00133600534402138 0.00757069694945446 0.000445335114673792 0.00289467824537965 0.000222667557336896 0 0.000445335114673792 0.000222667557336896 0.0053440213760855 0 0 0.000445335114673792 0 0 0.000445335114673792 0.000222667557336896 0 0.000222667557336896 0 0 0.000445335114673792 0 0 0.000222667557336896 0.000222667557336896 0 0.000222667557336896 0 0
"MBRH1F914" 0.251169004676019 0.0126920507682031 0.0810509908706302 0.0305054553551548 0.0688042752171009 0.089957693164106 0.0458695168114006 0.0409708305499889 0.057893564907593 0.0057893564907593 0.0120240480961924 0.0184814072589624 0.00512135381874861 0.00289467824537965 0.0135827209975507 0.0057893564907593 0.0398574927633044 0.0291694500111334 0.00512135381874861 0.000222667557336896 0.00133600534402138 0.00757069694945446 0.0218214206190158 0.0211534179470051 0.00133600534402138 0.00334001336005344 0.00155867290135827 0.00868403473613895 0.0131373858828769 0.00200400801603206 0.00400801603206413 0.010688042752171 0.00489868626141171 0.00111333778668448 0.00356268091739034 0.000890670229347584 0 0.000222667557336896 0.00155867290135827 0.00111333778668448 0.00200400801603206 0.0151413938989089 0.00133600534402138 0.00244934313070586 0.000445335114673792 0.00489868626141171 0.00155867290135827 0.00779336450679136 0.00133600534402138 0.00334001336005344 0.00356268091739034 0.000222667557336896 0.000222667557336896 0.00267201068804275 0.000668002672010688 0.00935203740814963 0.00111333778668448 0.00334001336005344 0 0.000668002672010688 0 0 0.00133600534402138 0.00289467824537965 0 0 0 0 0.000222667557336896 0.000668002672010688 0.000890670229347584 0 0.000222667557336896 0.000668002672010688 0 0.000222667557336896 0.00222667557336896 0.000890670229347584 0 0 0.000668002672010688 0 0
"MBRH1F715" 0.356713426853707 0.00267201068804275 0.0536628813181919 0.0329547984858606 0.0249387664217324 0.0790469828545981 0.044978846582053 0.0273881095524382 0.0151413938989089 0.00267201068804275 0.00846136717880205 0.014918726341572 0.00200400801603206 0.000890670229347584 0.0420841683366733 0.00400801603206413 0.0772656423959029 0.0870630149187263 0.00890670229347584 0.000668002672010688 0 0.0251614339790692 0.00267201068804275 0.00779336450679136 0.000890670229347584 0.0053440213760855 0.00423068358940102 0.00690269427744378 0.00467601870407482 0.00178134045869517 0.00267201068804275 0.0055666889334224 0.000668002672010688 0.00111333778668448 0.00378534847472723 0 0 0 0.000445335114673792 0.00111333778668448 0.000222667557336896 0.00178134045869517 0.000222667557336896 0.00200400801603206 0.000445335114673792 0.00133600534402138 0.00155867290135827 0.00400801603206413 0.00133600534402138 0.00133600534402138 0.000445335114673792 0 0.00178134045869517 0.00311734580271654 0.000890670229347584 0.00779336450679136 0 0.000445335114673792 0.000222667557336896 0.000445335114673792 0 0.000222667557336896 0.000668002672010688 0.00133600534402138 0 0 0.000222667557336896 0 0 0.00378534847472723 0 0 0 0.000445335114673792 0.000222667557336896 0 0 0 0 0 0.00244934313070586 0 0
