"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000001" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-B" "acI-B1"
"Otu000004" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-A" "acI-A6"
"Otu000005" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" "Unclassified" "Unclassified"
"Otu000006" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-C" "acI-C2"
"Otu000007" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betI" "betI-A" "Lhab-A1"
"Otu000009" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacI" "bacI-A" "bacI-A1"
"Otu000010" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "betIV" "betIV-A" "LD28"
"Otu000011" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-A" "acI-A1"
"Otu000012" "Bacteria" "Verrucomicrobia" "OPB35_soil_group" "OPB35_soil_group_unclassified" "OPB35_soil_group_unclassified" "Unclassified" "Unclassified"
"Otu000014" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" "Microcystis" "Unclassified"
"Otu000016" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betII" "Pnec" "PnecB"
"Otu000017" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "bacV" "bacV_unclassified" "Unclassified"
"Otu000018" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacIV" "bacIV-B" "Aquir"
"Otu000019" "Bacteria" "Verrucomicrobia" "Opitutae" "Opitutae_vadinHA64" "Opitutae_vadinHA64_unclassified" "Unclassified" "Unclassified"
"Otu000020" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "bacVI" "bacVI_unclassified" "Unclassified"
"Otu000022" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "alfV" "alfV-A" "LD12"
"Otu000023" "Bacteria" "Armatimonadetes" "Armatimonadia" "Armatimonadales" "Armatimonadaceae" "Armatimonas" "Unclassified"
"Otu000024" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-A" "Phila"
"Otu000025" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "bacIII" "bacIII-A" "Unclassified"
"Otu000026" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acTH1" "acTH1-A" "acTH1-A1"
"Otu000027" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betI" "betI-B" "Rhodo"
"Otu000029" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "bacIII" "bacIII-B" "Algor"
"Otu000030" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" "Synechococcus" "Unclassified"
"Otu000033" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betI" "betI-A" "Lhab-A3"
"Otu000034" "Bacteria" "Verrucomicrobia" "Opitutae" "Opitutae_vadinHA64" "Opitutae_vadinHA64_unclassified" "Unclassified" "Unclassified"
"Otu000036" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-A" "acI-A4"
"Otu000038" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "bacV" "bacV_unclassified" "Unclassified"
"Otu000039" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" "Synechococcus" "Unclassified"
"Otu000040" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Unclassified"
"Otu000041" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" "[Chthoniobacterales]" "verI-B" "Xip-B1" "Unclassified"
"Otu000042" "Bacteria" "Planctomycetes" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "CL500-3" "Unclassified"
"Otu000043" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betI" "betI-A" "Lhab-A2"
"Otu000044" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "alfII" "alfII-A" "Brev"
"Otu000046" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "acIV" "acIV-A" "Iluma-A2"
"Otu000047" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "env.OPS_17" "Unclassified" "Unclassified"
"Otu000048" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "alfVIII" "alfVIII_unclassified" "Unclassified"
"Otu000049" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" "Unclassified"
"Otu000050" "Bacteria" "Planctomycetes" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "CL500-3" "Unclassified"
"Otu000053" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Luna1" "Luna1-A" "Luna1-A2"
"Otu000056" "Bacteria" "Chloroflexi" "Chloroflexi_unclassified" "Chloroflexi_unclassified" "Chloroflexi_unclassified" "Unclassified" "Unclassified"
"Otu000057" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "betIV" "betIV-A" "Unclassified"
"Otu000058" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "gamI" "gamI_unclassified" "Unclassified"
"Otu000059" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acSTL" "acSTL-A" "acSTL-A1"
"Otu000060" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "alfIV" "alfIV_unclassified" "Unclassified"
"Otu000061" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacI" "bacI_unclassified" "Unclassified"
"Otu000062" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "Hirschia" "Unclassified"
"Otu000063" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Cryomorphaceae" "Owenweeksia" "Unclassified"
