"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000001" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" NA NA NA
"Otu000007" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" NA NA NA
"Otu000009" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" NA NA NA
"Otu000010" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" NA NA NA
"Otu000012" "Bacteria" "Verrucomicrobia" "OPB35_soil_group" "OPB35_soil_group_unclassified" NA NA NA
"Otu000017" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" NA NA NA
"Otu000019" "Bacteria" "Verrucomicrobia" "Opitutae" "Opitutae_vadinHA64" NA NA NA
"Otu000020" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" NA NA NA
"Otu000022" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" NA NA NA
"Otu000023" "Bacteria" "Armatimonadetes" "Armatimonadia" "Armatimonadales" NA NA NA
"Otu000025" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" NA NA NA
"Otu000030" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" NA NA NA
"Otu000041" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" "[Chthoniobacterales]" NA NA NA
"Otu000046" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" NA NA NA
"Otu000048" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" NA NA NA
"Otu000056" "Bacteria" "Chloroflexi" "Chloroflexi_unclassified" "Chloroflexi_unclassified" NA NA NA
"Otu000070" "Bacteria" "Verrucomicrobia" "[Methylacidiphilae]" "Methylacidiphilales" NA NA NA
"Otu000075" "Bacteria" "Chloroflexi" "SL56_marine_group" "SL56_marine_group_unclassified" NA NA NA
"Otu000077" "unknown" "unknown_unclassified" "unknown_unclassified" "unknown_unclassified" NA NA NA
"Otu000082" "Bacteria" "Chlorobi" "Chlorobia" "Chlorobiales" NA NA NA
"Otu000083" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" NA NA NA
"Otu000086" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" NA NA NA
"Otu000087" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" NA NA NA
"Otu000088" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"Otu000093" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" NA NA NA
"Otu000106" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" NA NA NA
"Otu000110" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" NA NA NA
"Otu000117" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIV" NA NA NA
"Otu000136" "Bacteria" "Planctomycetes" "Planctomycetes_unclassified" "Planctomycetes_unclassified" NA NA NA
"Otu000137" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" "Proteobacteria_unclassified" NA NA NA
"Otu000142" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" NA NA NA
"Otu000154" "Bacteria" "Verrucomicrobia" "Opitutae" "Opitutales" NA NA NA
"Otu000162" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Alphaproteobacteria_unclassified" NA NA NA
"Otu000176" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Bdellovibrionales" NA NA NA
"Otu000184" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Deltaproteobacteria_unclassified" NA NA NA
"Otu000210" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" NA NA NA
"Otu000215" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_Incertae_Sedis" "Unknown_Order" NA NA NA
"Otu000227" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" NA NA NA
"Otu000231" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_unclassified" "Verrucomicrobia_unclassified" NA NA NA
"Otu000256" "Bacteria" "Planctomycetes" "Phycisphaerae" "Phycisphaerales" NA NA NA
"Otu000262" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" NA NA NA
