,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000173,1.0,8669.419741790718,1.8835721210118694,0.001284263705482191,1.520429819521001
Otu000242,0.8733333333333333,4517.53891615609,3.260158693001742,0.0007778111244497798,2.1033116100842753
Otu000682,0.8233333333333334,1053.3121639643355,4.379639735326473,0.00030512204881952715,1.427276774016763
Otu000981,0.7966666666666666,746.9715657700579,3.9735190771014595,0.00029636854741896696,1.2636045142841097
Otu000101,0.7466666666666667,2077.1172930620996,1.7985020668062657,0.0009278711484593834,1.5914611749585736
Otu000253,0.7366666666666667,5132.004607077704,1.9478134523366522,0.0011004401760704272,1.8806703243805913
Otu000176,0.6633333333333333,7582.1794302492235,1.4540659023133016,0.0015193577430972374,1.0407945529034053
Otu000449,0.6566666666666666,1167.5335672519004,5.4934048522630246,0.0003338835534213679,2.077563445858777
Otu000917,0.6533333333333333,1529.4798548957085,4.145417940372419,0.00035514205682272846,1.6979578023843975
Otu001209,0.5766666666666667,126.53053622111346,6.9295552982355915,0.0003213785514205675,2.627404372319091
Otu000090,0.5733333333333334,12232.231688914315,1.0988348318526033,0.0028248799519807895,0.8816686588605702
Otu000313,0.57,2596.248069228942,2.167380266168612,0.00048394357743097177,1.2548961306405573
Otu000938,0.5666666666666667,584.2155359477545,3.5652551867720574,0.0003163765506202474,1.2938177804655364
Otu000168,0.5633333333333334,2582.550294915465,1.5874409593142766,0.0005052020808323324,1.1324355954112555
Otu000216,0.56,7851.687244146659,3.3985016656817653,0.0017169367747098823,2.7805121416587104
Otu000289,0.5166666666666667,1640.252131747699,4.965484589665991,0.0005052020808323324,3.0885729978286784
Otu000730,0.51,985.993261787214,3.495776493677992,0.0003413865546218481,1.538185143297147
Otu000001,0.5033333333333333,369375.3893837137,0.7287593487717613,0.09485294117647064,0.638429754462345
Otu000778,0.5033333333333333,1001.7840005189576,2.91776867201486,0.0002838635454181666,0.8304699592646366
Otu000257,0.49666666666666665,1017.4673035076531,2.4258859420100927,0.00032888155262104793,1.0097385998964177
Otu000292,0.49666666666666665,1013.7755356934027,2.801058947259698,0.0005439675870348131,2.031925584711869
Otu000059,0.49,18565.54042278274,0.7912952353020907,0.0049732392957182806,0.9214050515281815
Otu000142,0.4866666666666667,1383.0728519291467,2.481275577086167,0.0005652260904361739,2.2274727209478455
Otu001533,0.48,309.8849159538812,4.260941556608067,0.000300120048019207,1.9881384787731633
Otu000231,0.47333333333333333,930.3055310215336,5.493850675987539,0.0014055622248899554,5.062067971111859
Otu000412,0.47333333333333333,3704.9674405851097,1.588846339903862,0.0007978191276510594,1.2322530913913263
Otu000074,0.46,12493.67748718061,0.7947380104592042,0.0034726390556222434,0.8669285307949732
Otu000330,0.45,4777.1258568359835,2.427887401349119,0.0007790616246498593,1.869992764056674
Otu000088,0.44,4616.289407465236,1.293974018344444,0.001785714285714284,1.5033132364419526
Otu000670,0.43666666666666665,897.6808978481389,1.7508657446951668,0.00032513005202080777,0.7376089043620717
