,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,r_spearman,p_spearman
Otu001225,0.49666666666666665,622.9255100482163,1.9795023299946393,0.00019561076888757083,1.5153651584876457,0.23445542708074754,0.06012743951431147
Otu000060,0.47,11973.292064263296,2.70985410778292,0.0020178795106298784,1.4849629936064153,0.7997506202581264,1.3570109458023518e-15
Otu000242,0.4633333333333333,2556.749002432779,2.297671568919484,0.00040838037715127236,1.843662456673915,0.504830267152087,1.7999066963211118e-05
Otu000007,0.46,93632.66204256423,1.0342941338126381,0.034945692273374636,0.6390158259424645,0.12341550882022082,0.3273566080283292
Otu000075,0.46,17972.76518591087,1.0066105676904826,0.010926748914703384,1.2514726997036734,-0.5498366239410275,2.0950891415880373e-06
Otu000434,0.45666666666666667,332.0133842790715,2.5693952821577364,6.17718217539677e-05,2.6710395280666535,0.4912352671808309,3.2528755780599336e-05
Otu000387,0.44666666666666666,212.52976443075565,2.7439494844094514,8.922596475573232e-05,2.24478562450861,0.05309503978225517,0.6744441482576433
Otu000159,0.43666666666666665,304.6843409478541,2.270258043802724,0.00022992844763978923,2.0362248335421054,-0.4213378755055548,0.0004735977851279682
Otu000173,0.42,3780.7114261160978,2.664013726251148,0.0005559463957857708,2.005073000988489,0.5636639334567634,1.0140489360248511e-06
Otu000893,0.4,374.1431111937406,2.7850808719806412,8.236242900529079e-05,2.373137518987933,0.23110337317312227,0.06399378579403456
Otu000296,0.4,2110.445620099864,3.0391349708237225,0.00027797319789288,2.549619044138465,0.5607651433584131,1.1838816187167216e-06
Otu000077,0.3933333333333333,5820.9787205638395,2.1712912869457677,0.003709741073113802,2.274875290395626,-0.2459354599560229,0.04829457400658204
Otu000422,0.38666666666666666,594.3025032310098,3.526215850261009,6.863535750441078e-05,2.868198476396081,0.5866092860031622,2.8211546104301555e-07
Otu001485,0.38,165.22177122119453,2.3578090143282924,0.0001509977865097092,2.3663425559167495,-0.5230445583739887,7.820752665222789e-06
Otu000570,0.38,825.8457417913826,1.8705853050920556,0.0006486041284167338,1.9949341918126964,-0.582361740172576,3.601686903484195e-07
Otu000666,0.37333333333333335,209.86093264469199,3.65513823654557,6.863535750441231e-05,2.8100683932959085,0.11505874626472865,0.3614160237246665
Otu000160,0.37333333333333335,3115.617482753649,4.903725700942412,0.00036719916264863227,4.25563123358477,0.5588087258069986,1.313217304723943e-06
Otu000192,0.36666666666666664,3389.5769261136957,3.677215199430736,0.003332246606839497,4.386520984457171,-0.3543622469444727,0.0037778029431932447
Otu000026,0.36666666666666664,20917.807660491766,1.2524391954249776,0.0071655313234612475,0.6368048975323306,-0.08100131950549984,0.521238488551149
Otu000004,0.35333333333333333,273516.42887301976,1.2564923279017377,0.08369738670876307,0.48570673902643724,0.4422906719087445,0.00022525887550185487
Otu000087,0.35333333333333333,2147.425018618714,1.2709822658640102,0.0015065460972219593,1.522168128887093,-0.5907462786405769,2.2163770711386136e-07
Otu000596,0.3466666666666667,68.71221346625707,4.08381033819512,1.7158839376101537e-05,4.179563374325291,0.244115788340213,0.050031419161611385
Otu000151,0.3433333333333333,157.53031165599953,3.0869872295816623,4.804475025308769e-05,4.303441758568435,0.28972720186948037,0.01923294555321119
Otu001552,0.33666666666666667,4.1754093755898305,8.062257748298535,3.43176787522e-06,8.062257748298553,-0.09327531340557957,0.45988781634684217
Otu000816,0.33,602.763176913468,2.139440500936612,0.0006005593781636492,2.054350783789664,-0.6803919356690028,4.5314447958976215e-10
Otu000216,0.33,2382.760517664682,1.8115440779124712,0.0007206712537963678,1.213388148664637,0.27847358651267656,0.02469144000125597
Otu000335,0.32666666666666666,3808.528787075963,2.520139893471343,0.0006039911460388555,1.7792589482043228,0.6543780546887812,3.3817144119307164e-09
Otu000338,0.32,66.67803214399696,3.4042064019810163,5.490828600353077e-05,3.592985652411936,-0.2254383122239064,0.07098136107022412
Otu000712,0.32,411.7666214348216,3.8655834416158403,5.834005387874769e-05,2.9676200954877903,0.48085722035617223,5.026459968649405e-05
Otu000006,0.30666666666666664,50233.25047495838,2.7984853544949613,0.010518368537552095,1.6907996521460276,0.27903624621947376,0.024390364861806894
Otu000107,0.2966666666666667,4918.075155309804,1.322451353421906,0.0036136515726075988,2.1149352141896838,-0.520967595801131,8.621574672275103e-06
Otu000046,0.29,21613.40039419756,1.5259693206286615,0.007724909487122262,0.8932573406645757,-0.11968298797182793,0.34230960918842523
Otu000219,0.29,3213.252871203693,2.115920827504708,0.0008167607543025647,2.022712843047093,0.26501648468398675,0.032885216142265215
Otu000041,0.2833333333333333,27295.96357057533,2.6267944447168423,0.005779097101872,1.7937533063992754,0.5631317906715716,1.043402858320975e-06
Otu000246,0.28,786.2407624393002,5.287986451913559,7.206712537963693e-05,4.958051069539692,0.33307286367935135,0.006706099382488694
Otu000168,0.2733333333333333,1845.0507589567412,3.2001051140961296,0.0002470872870158939,2.7229783441823834,0.6109549959038704,6.487359479280615e-08
Otu000074,0.2633333333333333,10389.599533151906,0.7710634168431402,0.004876542150688888,0.763487560413519,-0.3970601548881926,0.0010572334142034793
Otu000676,0.2633333333333333,652.104943926629,2.0940197957857545,0.000281404965768103,2.0891600058496804,0.05664534702993088,0.6540173099763535
Otu001408,0.2633333333333333,44.10987923608846,8.062257748298551,6.863535750441539e-06,8.06225774829855,0.13991297010836934,0.2663077548187618
Otu000108,0.26,8146.228576454637,3.321126111700745,0.00112218809519722,2.1732244766629325,0.705251245376198,5.429481956997217e-11
Otu000701,0.26,216.6166176049694,3.775426286451701,2.7454143001763075e-05,3.9355153728579078,0.4181680976930788,0.0005277674605064225
Otu000279,0.25666666666666665,5720.471819056609,5.165384316352201,0.00089912318330786,2.8296888051343734,0.5975324871886687,1.4810023598580115e-07
Otu000128,0.25,5119.7978055697595,1.9898019280750752,0.002903275622436871,1.350482997566507,-0.5786361227984358,4.4495715953553155e-07
Otu000402,0.24666666666666667,1187.478103831569,1.487678269149058,0.00043583452015303226,1.3644551242073566,0.2141236539530199,0.08675839356314265
Otu000127,0.24666666666666667,453.93111603150396,3.072690674564982,8.23624290052923e-05,2.5138505214998204,0.43951322706552537,0.0002492696278502258
Otu000265,0.24666666666666667,1995.5039988678595,2.315568531441076,0.0011942552205768645,2.765777541291785,-0.03461650475425619,0.784273656869964
Otu000034,0.24333333333333335,27050.356221338032,1.4522010778402907,0.011770963812007736,0.9624274028024987,-0.37336404378393073,0.0021887171553838813
Otu000099,0.24,2307.0093411489565,1.7179699931984622,0.0017570651521130803,1.9345397176542891,-0.6243554653104586,2.7361272376334115e-08
Otu000119,0.24,9692.534122315063,3.2261388567999556,0.0012869129532078292,2.7581878108642535,0.7073449310244306,4.495825974331914e-11
Otu000262,0.23333333333333334,1774.9458475594984,1.479776388586239,0.0008648055045556434,1.3266405909153445,-0.26366876825598423,0.033818415212809365
