"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000001" "Bacteria" "Actinobacteria" NA NA NA NA NA
"Otu000009" "Bacteria" "Bacteroidetes" NA NA NA NA NA
"Otu000012" "Bacteria" "Verrucomicrobia" NA NA NA NA NA
"Otu000022" "Bacteria" "Proteobacteria" NA NA NA NA NA
"Otu000023" "Bacteria" "Armatimonadetes" NA NA NA NA NA
"Otu000030" "Bacteria" "Cyanobacteria" NA NA NA NA NA
"Otu000056" "Bacteria" "Chloroflexi" NA NA NA NA NA
"Otu000077" "unknown" "unknown_unclassified" NA NA NA NA NA
"Otu000082" "Bacteria" "Chlorobi" NA NA NA NA NA
"Otu000093" "Bacteria" "Bacteria_unclassified" NA NA NA NA NA
"Otu000136" "Bacteria" "Planctomycetes" NA NA NA NA NA
"Otu000227" "Bacteria" "Gemmatimonadetes" NA NA NA NA NA
"Otu000387" "Bacteria" "Spirochaetae" NA NA NA NA NA
"Otu000775" "Bacteria" "Acidobacteria" NA NA NA NA NA
"Otu001028" "Bacteria" "TM6" NA NA NA NA NA
"Otu002522" "Bacteria" "Firmicutes" NA NA NA NA NA
