,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,r_spearman,p_spearman
Otu000392,0.8066666666666666,4160.131757079656,2.2009446676607594,0.0007342553349690849,1.6052587275011048,0.09197918617540914,0.23570088493464486
Otu000173,0.7866666666666666,9202.636542811331,1.868850762432822,0.0013941556993084534,1.5475721762550336,0.4115690849914711,2.984833747611907e-08
Otu000682,0.7866666666666666,1400.1668000913508,4.290562063248163,0.00035185834315875513,1.6144262374198097,-0.34656890783099914,4.185650110545949e-06
Otu000074,0.7766666666666666,13440.587905288765,0.7953633320437272,0.0036978320214991656,0.8469074068387389,-0.5758398671802635,3.194077030562419e-16
Otu000060,0.77,27431.752890876145,1.4309586361072457,0.004102801057964969,1.0186804304144998,0.5955249264784043,1.677884366717829e-17
Otu000113,0.76,6981.672821541433,2.4870851982954125,0.001010430940165438,1.982069059352933,0.1765733115341591,0.02204540001054471
Otu000221,0.7466666666666667,1843.807131357482,4.7831823419439035,0.0005682844183847395,3.092167401560516,-0.4597997580494127,3.613171102321621e-10
Otu000242,0.7266666666666667,5151.362021063567,3.267847453585119,0.0008471155582464456,2.12943279390715,-0.011414196121704185,0.8832542820233709
Otu000287,0.7166666666666667,6997.545419007524,4.951682706969572,0.0015030326205877776,3.7201779883280035,-0.5441939451612414,2.4577394000042005e-14
Otu001067,0.7066666666666667,941.78916001588,3.7666697455183327,0.00042886884845389146,2.3357920796037623,-0.5659087572952153,1.3122015327101401e-15
Otu000315,0.6933333333333334,1728.955633380867,4.3516685361245395,0.0004965849824203022,2.7763200090059303,-0.3758535338452428,5.152013852219404e-07
Otu000071,0.69,14015.019424023028,3.2340552330614982,0.0019372125383724233,2.7450055644528484,0.21536639316464287,0.005053502184405236
Otu000088,0.6866666666666666,4796.152364736093,1.417696265356533,0.0019292459343763797,1.59927358636194,-0.5917564701535223,2.9955631274459904e-17
Otu000257,0.6866666666666666,1319.041264416897,2.556291026221107,0.0003823969918102751,1.1773463287882935,-0.26471570805978917,0.0005252082538355901
Otu000062,0.62,2741.222679823247,2.390526988471686,0.0006107729730303364,1.6038112695313422,-0.22581126841836197,0.003249359952729145
Otu001038,0.6133333333333333,778.1046447704553,2.5386525333300862,0.0003253029965052618,1.1252536477267434,-0.4213103800851383,1.2928486651105246e-08
Otu000722,0.59,796.1699673621512,2.8603067184417426,0.00033725290249933407,1.1893361919762881,-0.46063494313148856,3.326475299194327e-10
Otu000377,0.58,10013.879045626065,3.924498482084554,0.0014605440659421858,3.1215684452010115,0.1033478267471819,0.18249491883982394
Otu000406,0.57,996.9920675886679,3.2646072470747,0.0003292862985032845,1.050898909244096,-0.30031990119507396,7.646320358232667e-05
Otu000154,0.54,4420.233667803365,1.4238080224306024,0.0015853541952136165,2.3445829465701813,-0.2077940484204879,0.006876296573773186
Otu000100,0.5366666666666666,3231.4808385772158,1.4748962859910806,0.0006877834783254753,1.1800469544673424,0.12028689873001251,0.12039908053178534
Otu000220,0.5133333333333333,1890.03222918406,3.4894012942824983,0.0017433585078019064,3.7032381488732415,-0.6610591159186278,1.819587082887381e-22
Otu000547,0.5133333333333333,651.8966774420295,2.2292849205853775,0.00033725290249933364,0.9011176533749352,-0.5986809137430972,1.0266161192539046e-17
Otu000027,0.5,26795.12619831612,1.3059632058338602,0.009537352750602772,1.1540825498528058,-0.7556324375762424,2.5503728732511337e-32
Otu000165,0.49333333333333335,5963.669438678395,3.2095253495558933,0.0009028817862187857,2.413990673717612,0.21388330692798685,0.005372022543586461
Otu000645,0.49,670.5723472515218,2.04739156107844,0.0003717748531488777,1.4062307882921492,-0.5852749277438362,7.9767924957807e-17
Otu000046,0.48333333333333334,33580.56353821474,1.2001050751253899,0.0072177432204199735,0.9325544417847639,-0.12969411979084944,0.09382409229899646
Otu000108,0.48333333333333334,17049.5712846441,2.4002580572809262,0.0023209372975154276,1.9975844114418317,0.4763895708161025,6.702467098646859e-11
